name,rarity,category,uses,recycle_safe,recycle_outputs,notes,sources
Fireball Burner,Uncommon,Recyclable,"Alloy/Chemical salvage",Yes,"1x ARC Alloy; 1x Chemicals","Salvage fodder","ARC: Fireball"
Fried Motherboard,Rare,Recyclable,"Utility Station III",Yes,"5x Plastic Parts; 1x Elec. Components","Keep for Utility Station","Tech: Computers"
Frying Pan,Uncommon,Recyclable,"Metal salvage",Yes,"8x Metal Parts","Basic metal salvage","Res: Kitchens"
Garlic Press,Uncommon,Recyclable,"Metal salvage",Yes,"12x Metal Parts","High density metal salvage","Res: Kitchens"
Geiger Counter,Epic,Component,"Exodus crafting",Yes,"1x Exodus Module; 3x Battery","High value recycle","Exodus: Crates"
Great Mullein,Uncommon,Nature,"Currency/Quest",No,"2x Assorted Seeds","Nature currency","Nature: Hills"
Headphones,Rare,Recyclable,"Rubber/Speaker salvage",Yes,"6x Rubber Parts; 2x Speaker Component","Good audio salvage","Res: Electronics"
Heavy Gun Parts,Rare,Material,"Heavy Weapon Crafting",Yes,"2x Simple Gun Parts","Weapon material","Security: Armories"
Hornet Driver,Rare,Recyclable,"Quest: The Trifecta",Yes,"2x ARC Alloy; 2x Elec. Components","Keep for quest","ARC: Hornet"
Household Cleaner,Uncommon,Recyclable,"Chemical salvage",Yes,"13x Chemicals","Excellent chemical source","Res: Bathrooms"
Humidifier,Rare,Recyclable,"Expedition: Outfitting",Yes,"2x Canister; 2x Wires","Keep for Expedition","Res: Living Rooms"
Ice Cream Scooper,Uncommon,Recyclable,"Metal salvage",Yes,"7x Metal Parts","Basic metal salvage","Res: Kitchens"
Impure ARC Coolant,Uncommon,Recyclable,"Chemical salvage",Yes,"13x Chemicals","Excellent chemical source","ARC: Remains"
Industrial Battery,Rare,Recyclable,"Gear Bench III",Yes,"7x Chemicals; 2x Battery","Keep for Gear Bench","Ind: Generators"
Industrial Charger,Rare,Recyclable,"Voltage Converter salvage",Yes,"5x Metal Parts; 1x Voltage Converter","Source of voltage converters","Ind: Power"
Industrial Magnet,Rare,Recyclable,"Magnet salvage",Yes,"2x Magnet; 4x Metal Parts","Source of magnets","Ind: Factory"
Ion Sputter,Epic,Component,"Exodus crafting",Yes,"1x Exodus Module; 4x Voltage Converter","High value recycle","Exodus: Crates"
Kinetic Converter,Epic,Trinket,"High value sellable",Yes,"(None - Sell Item)","Sell for massive cash","Tech: High Security"
Laboratory Reagents,Rare,Recyclable,"Explosives Station Mastery",Yes,"2x Chemicals; 2x Crude Explosives","Keep for mastery","Med: Labs"
Lance's Mixtape (5th Ed),Legendary,Trinket,"High value sellable",Yes,"(None - Sell Item)","Ultra rare sellable","Loot: Unique"
Leaper Pulse Unit,Epic,Boss Part,"Expedition: Outfitting",Yes,"2x Adv. Mech. Components; 3x ARC Alloy","Keep for Expedition","ARC: Leaper"
Lemon,Common,Nature,"Scrappy Upgrade",No,"3x Assorted Seeds","Keep for Scrappy","Nature: Trees"
Light Bulb,Uncommon,Junk,"Expedition: Core Systems",No,,"Keep for Expedition","Res: Lamps"
Light Gun Parts,Rare,Material,"Light Weapon Crafting",Yes,"2x Simple Gun Parts","Weapon material","Security: Armories"
Magnet,Uncommon,Material,"Tech crafting",Yes,"3x Metal Parts","Basic magnet","Ind: Scrap"
Magnetic Accelerator,Epic,Material,"Queen Reactor Crafting",Yes,"1x Adv. Mech. Components; 1x ARC Motion Core","Legendary crafting part","Exodus: Crates"
Magnetron,Epic,Component,"Quest: Snap and Salvage",Keep,"1x Magnetic Accelerator; 1x Steel Spring","Keep for Tian Wen quest","Exodus: Crates"
Matriarch Reactor,Legendary,Boss Part,"Equalizer Weapon Crafting",Yes,"1x Power Rod; 1x Magnetic Accelerator","Do not recycle","ARC: Matriarch"
Mechanical Components,Rare,Material,"Expedition Framework; Gunsmith II",Yes,"3x Metal Parts; 2x Rubber Parts","High demand mid-game","Mech: Toolboxes"
Medium Gun Parts,Rare,Material,"Medium Weapon Crafting",Yes,"2x Simple Gun Parts","Weapon material","Security: Armories"
Metal Brackets,Uncommon,Recyclable,"Metal salvage",Yes,"8x Metal Parts","Basic metal salvage","Ind: Shelves"
Metal Parts,Common,Material,"Basic Crafting",No,,"Primary currency for crafting","Ind: Scrap"
Mod Components,Epic,Material,"Weapon Mods",Yes,"1x Mech. Components; 1x Steel Spring","Advanced crafting","Tech: Mods"
Moss,Rare,Nature,"Currency",Yes,"3x Assorted Seeds","Nature currency","Nature: Damp Areas"
Motor,Rare,Recyclable,"Refiner III",Yes,"2x Oil; 2x Mech. Components","Keep for Refiner","Mech: Engines"
Mushroom,Uncommon,Nature,"Scrappy Upgrade",No,,"Keep for Scrappy","Nature: Caves"
Music Album,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Living Rooms"
Music Box,Epic,Trinket,"High value sellable",Yes,"(None - Sell Item)","Sell item","Res: Bedrooms"
Number Plate,Uncommon,Recyclable,"Metal salvage",Yes,"3x Metal Parts","Basic metal salvage","Mech: Cars"
Oil,Uncommon,Material,"Fuel crafting",Yes,"3x Chemicals","Fuel ingredient","Ind: Drums"
Olives,Common,Nature,"Scrappy Upgrade",No,"2x Assorted Seeds","Keep for Scrappy","Nature: Trees"
Painted Box,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Storage"
Plastic Parts,Common,Material,"Basic Crafting",No,,"Primary currency for crafting","Res: Plastic"
Playing Cards,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Games"
Polluted Air Filter,Rare,Recyclable,"Fabric/Oil salvage",Yes,"6x Fabric; 2x Oil","Dirty salvage","Ind: Vents"
Pop Trigger,Common,Recyclable,"Explosive salvage",Yes,"1x Crude Explosives; 1x ARC Alloy","Explosive source","ARC: Pop"
Portable TV,Rare,Recyclable,"Wire salvage",Yes,"2x Battery; 6x Wires","Good wire source","Res: Living Rooms"
Poster of Natural Wonders,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Walls"
Pottery,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Decor"
Power Bank,Rare,Recyclable,"Battery salvage",Yes,"2x Battery; 2x Wires","Good battery source","Tech: Desks"
Power Cable,Rare,Recyclable,"Wire salvage",Yes,"4x Wires","Excellent wire source","Ind: Power"
Power Rod,Epic,Material,"Queen Reactor Crafting",Yes,"1x Adv. Elec. Components; 1x ARC Circuitry","Legendary crafting part","Exodus: Crates"
Prickly Pear,Common,Nature,"Scrappy Upgrade",No,"3x Assorted Seeds","Keep for Scrappy","Nature: Desert"
Processor,Rare,Material,"Electronics Crafting",Yes,"1x Wires; 1x Plastic Parts","Computing material","Tech: PCs"
Projector,Rare,Recyclable,"Processor salvage",Yes,"1x Processor; 2x Wires","High value salvage","Tech: Meeting Rooms"
Queen Reactor,Legendary,Boss Part,"Refiner III (Unique)",Yes,"1x Power Rod; 1x Magnetic Accelerator","Do not recycle","ARC: Queen"
Radio,Rare,Recyclable,"Sensor salvage",Yes,"1x Speaker Component; 1x Sensors","Good sensor source","Res: Tables"
Red Coral Jewelry,Epic,Trinket,"High value sellable",Yes,"(None - Sell Item)","Sell item","Res: Jewelry"
Remote Control,Uncommon,Recyclable,"Sensor salvage",Yes,"2x Plastic Parts; 1x Sensors","Common sensor source","Res: Living Rooms"
Resin,Common,Nature,"Currency",No,,"Nature currency","Nature: Trees"
Ripped Safety Vest,Uncommon,Recyclable,"Magnet/Cloth salvage",Yes,"1x Magnet; 1x Durable Cloth","Good hybrid salvage","Ind: Lockers"
Rocketeer Driver,Epic,Recyclable,"High-end Workshop",Yes,"2x Adv. Elec. Components; 3x ARC Alloy","Keep for upgrades","ARC: Rocketeer"
Rocket Thruster,Rare,Recyclable,"Fuel salvage",Yes,"2x Synthesized Fuel; 6x Metal Parts","High value fuel source","Mech: Aerospace"
Roots,Uncommon,Nature,"Currency",No,"1x Assorted Seeds","Nature currency","Nature: Ground"
Rope,Rare,Material,"Fabric crafting",Yes,"5x Fabric","Fabric source","Ind: Climbing"
Rosary,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Personal"
Rotary Encoder,Rare,Component,"Exodus crafting",Yes,"2x Elec. Components; 2x Processors","High value recycle","Exodus: Crates"
Rubber Pad,Rare,Recyclable,"Rubber farm",Yes,"18x Rubber Parts","Massive rubber yield","Ind: Flooring"
Rubber Parts,Common,Material,"Basic Crafting",No,,"Primary currency for crafting","Ind: Tires"
Ruined Accordion,Rare,Recyclable,"Spring salvage",Yes,"18x Rubber Parts; 3x Steel Spring","High yield spring source","Res: Music"
Ruined Augment,Rare,Recyclable,"Rubber salvage",Yes,"2x Plastic Parts; 2x Rubber Parts","Salvage fodder","Tech: Labs"
Ruined Baton,Uncommon,Recyclable,"Rubber/Metal salvage",Yes,"6x Metal Parts; 3x Rubber Parts","Security salvage","Security: Guards"
Ruined Handcuffs,Uncommon,Recyclable,"Metal salvage",Yes,"8x Metal Parts","Security salvage","Security: Guards"
Ruined Parachute,Rare,Recyclable,"Fabric salvage",Yes,"10x Fabric","High yield fabric","Mech: Aerospace"
Ruined Riot Shield,Rare,Recyclable,"Plastic/Rubber salvage",Yes,"10x Plastic Parts; 6x Rubber Parts","Security salvage","Security: Guards"
Ruined Tactical Vest,Rare,Recyclable,"Fabric/Magnet salvage",Yes,"5x Fabric; 1x Magnet","Security salvage","Security: Guards"
Rusted Bolts,Uncommon,Recyclable,"Metal salvage",Yes,"8x Metal Parts","Basic metal salvage","Ind: Scrap"
Rusted Gear,Rare,Recyclable,"Gunsmith III",Yes,"4x Metal Parts; 2x Mech. Components","Keep for Gunsmith","Mech: Engines"
Rusted Shut Medical Kit,Rare,Recyclable,"Medical salvage",Yes,"2x Syringe; 1x Antiseptic","Good medical source","Med: Field Kits"
Rusted Tools,Rare,Recyclable,"Spring salvage",Yes,"8x Metal Parts; 1x Steel Spring","Good spring source","Ind: Toolboxes"
Rusty ARC Steel,Uncommon,Recyclable,"Metal salvage",Yes,"8x Metal Parts","Basic metal salvage","ARC: Remains"
Sample Cleaner,Rare,Component,"Exodus crafting",Yes,"2x Elec. Components; 14x Assorted Seeds","Seed farm recycle","Exodus: Labs"
Sensors,Rare,Material,"Expedition Framework",Yes,"2x Wires; 2x Metal Parts","Keep for Expedition","Tech: Scanners"
Sentinel Firing Core,Rare,Recyclable,"Weapon Manufacturing",Yes,"2x ARC Alloy; 3x Mech. Components","High value salvage","ARC: Sentinel"
Signal Amplifier,Rare,Component,"Exodus crafting",Yes,"2x Elec. Components; 2x Voltage Converter","Voltage converter source","Exodus: Comms"
Silver Teaspoon Set,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Kitchens"
Simple Gun Parts,Uncommon,Material,"Weapon Mods",Yes,"2x Metal Parts","Base weapon material","Security: Armories"
Snitch Scanner,Uncommon,Recyclable,"Quest: Eyes in the Sky",Yes,"4x ARC Alloy; 2x Elec. Components","Keep for quest","ARC: Snitch"
Speaker Component,Rare,Material,"Audio crafting",Yes,"2x Plastic Parts; 2x Rubber Parts","Hybrid material","Tech: Audio"
Spotter Relay,Uncommon,Recyclable,"Electrical salvage",Yes,"2x Elec. Components; 1x ARC Alloy","Good component source","ARC: Spotter"
Spring Cushion,Rare,Recyclable,"Spring/Cloth salvage",Yes,"2x Durable Cloth; 2x Steel Spring","Good hybrid salvage","Res: Furniture"
Statuette,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Decor"
Steel Spring,Uncommon,Material,"Expedition Foundation",Yes,"3x Metal Parts","Keep for Expedition","Mech: Suspension"
Surveyor Vault,Rare,Material,"Quest usage",Yes,"2x Mech. Components; 2x ARC Alloy","Keep for quest","ARC: Surveyor"
Synthesized Fuel,Rare,Material,"Rocket Thruster crafting",Yes,"1x Oil; 1x Plastic Parts","Advanced fuel","Ind: Fuel Tanks"
Syringe,Rare,Material,"Medical Lab II",Yes,"3x Plastic Parts; 2x Chemicals","Keep for Medical Lab","Med: Cabinets"
Tattered ARC Lining,Uncommon,Recyclable,"Fabric salvage",Yes,"12x Fabric","High yield fabric","ARC: Remains"
Tattered Clothes,Uncommon,Recyclable,"Fabric salvage",Yes,"11x Fabric","High yield fabric","Res: Wardrobes"
Thermostat,Rare,Recyclable,"Sensor salvage",Yes,"6x Rubber Parts; 2x Sensors","Good sensor source","Res: Walls"
Tick Pod,Uncommon,Recyclable,"Chemical salvage",Yes,"1x Chemicals; 1x Metal Parts","Basic salvage","ARC: Tick"
Toaster,Rare,Recyclable,"Wire salvage",Yes,"5x Plastic Parts; 3x Wires","Good wire source","Res: Kitchens"
Torn Blanket,Uncommon,Recyclable,"Fabric salvage",Yes,"12x Fabric","High yield fabric","Res: Beds"
Torn Book,Common,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Bookshelves"
Turbo Pump,Rare,Recyclable,"Mechanical/Oil salvage",Yes,"1x Mech. Components; 3x Oil","Good hybrid salvage","Mech: Engines"
Unusable Weapon,Rare,Recyclable,"Gun Parts salvage",Yes,"4x Metal Parts; 5x Simple Gun Parts","High yield gun parts","Security: Weapon Racks"
Vase,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Decor"
Very Comfortable Pillow,Rare,Junk,"Scrappy Upgrade",No,,"Keep for Scrappy","Res: Beds"
Volcanic Rock,Rare,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Nature: Volcanic"
Voltage Converter,Rare,Material,"Advanced Electronics",Yes,"1x Wires; 1x Rubber Parts","Electronics material","Ind: Power"
Wasp Driver,Rare,Recyclable,"Quest: The Swarm",Yes,"1x ARC Alloy; 1x Elec. Components","Keep for quest","ARC: Wasp"
Water Filter,Rare,Recyclable,"Quest/Salvage",Yes,"2x Rubber Parts; 3x Canister","Keep for quest","Res: Kitchens"
Water Pump,Rare,Recyclable,"Quest: Water Troubles",Yes,"4x Metal Parts; 2x Oil","Keep for quest","Mech: Plumbing"
Wires,Uncommon,Material,"Expedition Framework",Yes,"2x Rubber Parts","CRITICAL: Keep for Expedition","Tech: Cables"
