name,rarity,category,uses,recycle_safe,recycle_outputs,notes,sources
Broken Flashlight,Rare,Electronic Junk,,Yes,Batteries; Metal Parts; Wires,Standard electronic salvage.,Master index (this chat)
Broken Guidance System,Rare,Electronic Junk,,Yes,Processor; Sensors; Wires,Valuable electronic parts source.,Master index (this chat)
Broken Handheld Radio,Rare,Electronic Junk,,Yes,Batteries; Wires; Processor,Good for wires and batteries.,Master index (this chat)
Broken Taser,Rare,Electronic Junk,,Yes,Processor; Wires,Processor salvage.,Master index (this chat)
Buried City Hospital Key,Varies,Key,Unlocks specific Buried City area,No,,Keys are not recyclable.,Master index (this chat)
Burned ARC Circuitry,Uncommon,Electronic Junk,,Yes,ARC Alloy ×2,Breaks down to ARC Alloy.,Master index (this chat)
Burned Tick Pod,Common,Salvage,,Yes,Assorted salvage,Basic scrap; recycle unless a quest needs it.,Master index (this chat)
Camera Lens,Uncommon,Loot / Recyclable,,Yes,Plastic Parts ×8,Plastic yield.,Master index (this chat)
Candle Holder,Uncommon,Loot / Recyclable,,Yes,Metal Parts ×8,Metal yield.,Master index (this chat)
Canister,Uncommon,Topside Material,,Yes,Plastic Parts ×3,Common plastic source.,Master index (this chat)
Cat Bed,Uncommon,Trinket / Scrappy,Scrappy Lv4 ×1,No,,Keep for Scrappy upgrade.,Master index (this chat)
Chemicals,Common,Basic Material,Crafting base for many items,No,,Not recyclable; core crafting input.,Master index (this chat)
Coffee Pot,Common,Trinket,,No,,Not recyclable.,Master index (this chat)
Complex Gun Parts,Epic,Weapon Component,Crafting / component breakdown,Yes,Simple Gun Parts ×3,Break down if you need base parts.,Master index (this chat)
Coolant,Rare,Refined / Chemical,,Yes,Chemicals ×5; Oil ×2,General chemical salvage.,Master index (this chat)
Cooling Coil,Rare,Electronic / Mechanical,,Yes,Chemicals ×6; Steel Spring ×2,Chemicals and spring.,Master index (this chat)
Cooling Fan,Rare,Electronic,Projects II ×5,Keep,Plastic Parts ×14; Wires ×4,Keep for projects first.,Master index (this chat)
Cracked Bioscanner,Rare,Electronic / Medical,Medical Lab II ×2,Keep,Rubber Parts; Batteries,Keep until bench upgrades are done.,Master index (this chat)
Crude Explosives,Uncommon,Refined / Explosives,Explosives Station II ×5,Keep,Chemicals ×3,Bench unlock resource.,Master index (this chat)
Crumpled Plastic Bottle,Uncommon,Loot / Recyclable,,Yes,Plastic Parts ×3–4,Simple plastic scrap.,Master index (this chat)
Dam Control Tower Key,Varies,Key,Unlocks Dam area (Control Tower),No,,Keys are never recyclable.,Master index (this chat)
Dam Staff Room Key,Varies,Key,Unlocks Dam Staff Room,No,,Keys are never recyclable.,Master index (this chat)
Dam Surveillance Key,Varies,Key,Unlocks Dam Surveillance,No,,Keys are never recyclable.,Master index (this chat)
Dam Testing Annex Key,Varies,Key,Unlocks Dam Testing Annex,No,,Keys are never recyclable.,Master index (this chat)
Dam Utility Key,Varies,Key,Unlocks Dam Utility areas,No,,Keys are never recyclable.,Master index (this chat)
Damaged ARC Motion Driver,Common,ARC Salvage,,Yes,ARC Alloy,Break down to ARC Alloy.,Master index (this chat)
Damaged ARC Powercell Driver,Common,ARC Salvage,,Yes,ARC Alloy,Break down to ARC Alloy.,Master index (this chat)
Damaged Fireball Driver,Uncommon,ARC Salvage,,Yes,ARC Alloy; Crude Explosives,Good for explosives chain.,Master index (this chat)
Damaged Hornet Driver,Uncommon,ARC Salvage,,Yes,ARC Alloy,Basic breakdown.,Master index (this chat)
Damaged Rocketeer Driver,Uncommon,ARC Salvage,,Yes,ARC Alloy,Basic breakdown.,Master index (this chat)
Damaged Wasp Driver,Uncommon,ARC Salvage,Workshop ×8,Keep,ARC Alloy; Electrical Components,Keep if you still need Workshop upgrades.,Master index (this chat)
Damaged Heat Sink,Rare,Electronic / Mechanical,Utility Station II ×2,Keep,Metal Parts ×6; Wires ×2,Keep for Utility Station II.,Master index (this chat)
Damaged Snitch Scanner,Common,Electronic Junk,,Yes,Assorted electronic salvage,Recycle unless a quest calls for it.,Master index (this chat)
Dartboard,Uncommon,Trinket,,No,,Not recyclable.,Master index (this chat)
Deflated Football,Uncommon,Rubber Junk,,Yes,Rubber Parts,Basic rubber salvage.,Master index (this chat)
Degraded ARC Rubber,Rare,Rubber Junk,,Yes,Rubber Parts,Rubber salvage.,Master index (this chat)
Diving Goggles,Uncommon,Rubber / Plastic,,Yes,Rubber Parts; Plastic Parts,Mixed salvage.,Master index (this chat)
Dog Collar,Rare,Special / Scrappy,Train Scrappy to Level 2,Keep,Fabric; Metal Parts,Needed for companion upgrade; do not recycle until complete.,Master index (this chat)
Dried-Out ARC Resin,Uncommon,Plastic Salvage,,Yes,Plastic Parts ×9,Decent plastic yield.,Master index (this chat)
Duct Tape,Uncommon,Topside Material,,Situational,Fabric,Keep or recycle depending on stock.,Master index (this chat)
Durable Cloth,Uncommon,Refined / Fabric,Medical Lab II ×5; Project II ×35; Quest: Doctor’s Orders ×1,Keep,Fabric ×6,Hold for benches and quest.,Master index (this chat)
Electrical Components,Uncommon,Refined / Electronic,Gear Bench II ×5; Utility Station II ×5; Project II ×30,Keep,Plastic Parts; Rubber Parts,Bench and project bottleneck; keep first.,Master index (this chat)
Empty Wine Bottle,Common,Trinket,,No,,Not recyclable.,Master index (this chat)
Expired Pasta,Common,Trinket,,No,,Not recyclable.,Master index (this chat)
Fine Wristwatch,Rare,Trinket,,No,,Not recyclable.,Master index (this chat)
Film Reel,Uncommon,Trinket,,No,,Not recyclable.,Master index (this chat)
Exodus Module,Epic,Advanced Electronic,Project III ×1,Keep,Magnet; Mechanical Components,Project‑gated; recycle only when done.,Master index (this chat)
Explosive Compound,Rare,Refined / Explosives,Explosives Station III ×5,Keep,Crude Explosives ×2,Hold for Explosives Station III.,Master index (this chat)
Fabric,Common,Basic Material,Core crafting input,No,,Not recyclable.,Master index (this chat)
Fertilizer,Uncommon,Nature,Quest: Unexpected Initiative ×1,Keep,Assorted Seeds ×2,Quest‑gated; convert to seeds if surplus.,Master index (this chat)
Fireball Burner,Uncommon,ARC Salvage / Explosives,Refiner II ×8,Keep,ARC Alloy; Crude Explosives,Useful for mid‑tier benches.,Master index (this chat)
Humidifier,Rare,Expedition / Project Mat,Expedition stages / projects,Keep,Electronic salvage,Commonly required for expedition progress.,Master index (this chat)
Lightbulb,Uncommon,Expedition / Project Mat,Expedition stages / projects,Keep,Glass / electronic scrap,Keep until expedition stages are cleared.,Master index (this chat)
Leaper Pulse Unit,Epic,Advanced Component,High‑tier benches/projects,Keep,Electronic salvage,Late‑game; keep until done.,Master index (this chat)
Magnetic Accelerator,Epic,Advanced Component,High‑tier benches/projects,Keep,Electronic salvage,Late‑game project component.,Master index (this chat)
Lemons,Uncommon,Nature,Scrappy Lv3 fruit set,Keep,Assorted Seeds,Keep for Scrappy milestones.,Master index (this chat)
Metal Parts,—,Base Output,Universal crafting,—,,Common recycle output; not recycled further.,Master index (this chat)
Rubber Parts,—,Base Output,Universal crafting,—,,Common recycle output; not recycled further.,Master index (this chat)
Plastic Parts,—,Base Output,Universal crafting,—,,Common recycle output; not recycled further.,Master index (this chat)
Wires,—,Base Output,Universal crafting,—,,Common recycle output; not recycled further.,Master index (this chat)
Batteries,—,Base Output,Universal crafting,—,,Common recycle output; not recycled further.,Master index (this chat)
Sensors,—,Base Output,Electronics crafting,—,,Recycle output; terminal item.,Master index (this chat)
Processor,—,Base Output,Electronics crafting,—,,Recycle output; terminal item.,Master index (this chat)
Oil,—,Base Output,Crafting,—,,Recycle output; terminal item.,Master index (this chat)
Steel Spring,—,Base Output,Crafting,—,,Recycle output; terminal item.,Master index (this chat)
Mechanical Components,—,Base Output,Crafting,—,,Recycle output; terminal item.,Master index (this chat)
Simple Gun Parts,Epic,Weapon Component,Weapon crafting,Yes,,Result of breaking down Complex Gun Parts.,Master index (this chat)
Voltage Converter,Rare,Electronic,,Yes,Wires; Rubber Parts,Solid electronic scrap.,Master index (this chat)
Water Filter,Rare,Utility,,Yes,Assorted salvage,Recycle unless needed for a quest.,Master index (this chat)
Water Pump,Rare,Utility,Quest ×2,Keep,Assorted salvage,Quest‑gated; keep until complete.,Master index (this chat)
Vase,Uncommon,Trinket,,No,,Not recyclable.,Master index (this chat)
Very Comfortable Pillow,Uncommon,Trinket / Scrappy,Sometimes required for Scrappy milestones,No,,Keep if your companion progression calls for it.,Master index (this chat)
